Memory Summary:
Number of Weights:,1809
Weights Size (KB):,2628
==================================================================

Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, start, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0, 0.069, 0.069, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, start, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0, 0.069, 0.069, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 0.069, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=69
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, start, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0, 0.001, 0.00011539, 0.34329%, 0.34329%, 0, 1, [vehicle_cnn/conv_1/conv1d/ExpandDims]:0
CONV_2D, 0.000160692, 0.006, 0.00559998, 16.6601%, 17.0034%, 0, 1, [vehicle_cnn/conv_1/conv1d2]:1
SQUEEZE, 0.00581178, 0, 0.000191123, 0.568596%, 17.572%, 0, 1, [vehicle_cnn/conv_1/conv1d/Squeeze]:2
ADD, 0.00605018, 0.001, 0.00107817, 3.2076%, 20.7796%, 0, 1, [vehicle_cnn/conv_1/BiasAdd]:3
RELU, 0.00718045, 0.001, 0.00033763, 1.00446%, 21.7841%, 0, 1, [vehicle_cnn/conv_1/Relu]:4
EXPAND_DIMS, 0.00756269, 0, 0.000169463, 0.504158%, 22.2882%, 0, 1, [vehicle_cnn/max_pool_1/ExpandDims]:5
MAX_POOL_2D, 0.00777913, 0.004, 0.00329401, 9.79977%, 32.088%, 0, 1, [vehicle_cnn/max_pool_1/MaxPool]:6
SQUEEZE, 0.0111184, 0, 0.000131559, 0.391392%, 32.4794%, 0, 1, [vehicle_cnn/max_pool_1/Squeeze]:7
